Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
95,85,92,B+,38.4,Pure Storage,PSTG,35.86,-0.05,-51
95,84,95,B-,60.9,Terex,TEX,58.74,0.01,-52
95,84,86,B-,38.9,Flowserve,FLS,36.42,-0.18,-54
95,84,84,D+,169,DardenRest,DRI,162.05,-1.34,-18
95,81,99,B+,52,Circor,CIR,53.68,2.19,570
95,81,98,A-,3.5,Enel Chile,ENIC,3.36,-0.07,107
95,81,90,B+,17.6,American Air,AAL,17.55,0.2,8
95,81,88,A-,179.8,Bill.com,BILL,118.72,3.87,1
95,81,84,B+,143.9,VMware,VMW,140.69,-0.29,-22
95,80,89,B+,188.4,Apple,AAPL,189.25,1.19,-13
95,79,99,A-,16,YPFSciedad,YPF,14.77,-0.22,36
95,78,98,A-,56.6,XPOLogstc,XPO,58.63,2.14,39
95,78,94,B+,123.8,DRHorton,DHI,122.2,-0.85,8
95,77,87,B+,72.4,Commvault,CVLT,71.91,1.52,-32
95,75,94,A,333.1,IntSurg,ISRG,332.98,2.96,-33
95,71,94,A,85.4,TenetHlthcr,THC,79.75,0.41,-32
95,69,96,A-,448.6,Netflix,NFLX,429.84,12.76,26
95,69,94,A,82.7,Beacon Roofing,BECN,81.1,-0.65,16
95,69,87,A-,60.5,Coherent,COHR,47.51,-0.62,-12
95,64,98,B+,14.7,CarnivalPlc,CUK,15.6,1.33,139
95,63,90,A,5.5,VtexClaasA,VTEX,4.8,0.33,366
95,61,96,A-,19.8,NorwegCrs,NCLH,21.07,1.48,105
95,60,97,A,67.4,Shopify,SHOP,64.62,0.82,-34
94,98,81,E,389.1,Lululemon,LULU,376.25,1.73,-49
94,97,75,D+,490.8,Intuit,INTU,459.63,0.6,-22
94,96,85,C+,122.4,Fiserv,FI,122.95,0.55,-26
94,96,77,B,123.9,Polaris,PII,118.26,-0.04,-51
94,95,92,A+,298.5,HCA Hlthcr,HCA,299.52,1.92,-10
94,95,69,B-,235,Autodesk,ADSK,206.3,-0.55,-19
94,94,90,B,102.9,Floor&Decor A,FND,102.86,0.36,-12
94,93,86,B+,110.7,TaiwanSemi,TSM,100.92,-1.16,-36
94,92,83,C+,354.5,Vertex,VRTX,350.78,3.66,-21
94,91,89,C+,381.8,Old Dominion,ODFL,370.29,11.02,51
94,91,81,D+,196.2,Trane Tech,TT,186.74,-1.6,-35
94,90,75,B,46.4,RyanSpecialty,RYAN,44.04,-0.06,9
94,89,95,B,26.5,Api Group,APG,26.62,0.35,15
94,89,93,B+,36.5,SummitMat,SUM,37.08,0.59,52
94,89,82,B+,227.4,Steris,STE,216.89,0.07,2
94,88,92,D+,194.9,QuantaSvcs,PWR,193.72,-0.94,-23
94,88,83,B,402.9,S&P Global,SPGI,391.52,0.51,-38
94,88,82,C,20.2,AcmResrch A,ACMR,12.85,0.08,-13
94,87,92,B,55.8,AllisnTran,ALSN,55.58,-0.06,-22
94,85,95,B-,345.9,Saia,SAIA,344.36,1.41,28
94,85,90,C+,70.9,FortnBrndInov,FBIN,70.76,0.36,31
94,84,95,B-,18,Jeld-Wen,JELD,17.31,0.31,8
94,84,91,B-,11.8,Adeia,ADEA,10.55,0.09,-47
94,84,90,B+,66.4,Encompass,EHC,66.85,0.47,-23
94,84,88,B,306.6,Stryker,SYK,300.28,1.53,-6
94,82,93,B,28.6,VishayInter,VSH,28.48,-0.02,-46
94,82,90,D-,1365.6,MercadoLibre,MELI,1207.69,45.6,-9
94,81,97,A+,2.2,Qudian A,QD,1.95,-0.03,-25
94,81,95,B+,33.8,ArcturusThera,ARCT,25.99,1.09,-9
94,81,87,C,18.1,Freshworks,FRSH,17.2,0.5,4
