Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
96,63,96,A-,76.1,Shake Shack,SHAK,73.95,-1.11,-16
95,99,89,C+,153.4,AdvancdDrn,WMS,111.34,-0.16,-4
95,98,87,D-,389.1,Lululemon,LULU,374.25,-3.71,81
95,98,81,A,242.6,Chart Indus,GTLS,149.34,-2.46,69
95,98,78,B+,145.5,Agco,AGCO,129.77,-3.88,46
95,97,80,B+,363.1,Gartner,IT,338.19,-7.76,26
95,97,75,C,23.8,ICICIBank,IBN,22.82,-0.09,-24
95,94,93,A,27.3,Flex,FLEX,26.39,-0.18,-40
95,94,87,B,43.7,Griffon,GFF,37.45,-0.87,5
95,94,78,B-,198.3,Analog Devices,ADI,185.94,-0.17,31
95,94,73,D,48.1,MobileyeGlbl,MBLY,37.16,-0.25,43
95,92,91,B-,158.3,AutoNation,AN,154.61,1.39,84
95,92,73,C,71.8,HDFCBnk,HDB,68.69,0.31,-2
95,90,86,D+,158.6,Ametek,AME,156.06,0.03,11
95,89,86,A-,187.9,Amerisrce,ABC,187.67,-0.2,44
95,85,93,B+,38.4,Pure Storage,PSTG,35.85,-0.8,2
95,85,86,B,144.6,PTC Inc,PTC,140.86,-1.85,66
95,84,88,B,306.6,Stryker,SYK,297.88,-0.01,47
95,84,86,B,38.9,Flowserve,FLS,35.71,-0.34,1
95,84,83,C-,169,DardenRest,DRI,161.3,-0.83,78
95,82,78,C,53.9,DigitalOcean,DOCN,38.62,-0.42,30
95,81,97,C+,70.2,Weatherford,WFRD,62.64,1.02,44
95,81,95,A-,30.3,FTAI Aviation,FTAI,28.81,-0.89,999
95,81,94,B-,21.8,Life Time Grp,LTH,19,0.24,24
95,81,84,B-,18.1,Freshworks,FRSH,16.21,-0.31,999
95,81,84,B-,13,Onespaworld,OSW,11.23,-0.27,150
95,81,81,C,51.8,HiltonGrnVaca,HGV,44.48,-0.75,63
95,80,88,B+,187.1,Apple,AAPL,186.68,-0.32,-10
95,75,93,A,333.1,IntSurg,ISRG,327.26,-0.36,-9
95,75,88,B,54.7,BostonSci,BSX,53.97,-0.67,0
95,70,85,C+,43.3,OpenText,OTEX,40.09,-0.36,-21
95,69,96,A-,448.6,Netflix,NFLX,424.02,1.54,7
95,69,87,A,60.5,Coherent,COHR,46.71,-2.05,47
95,69,79,B+,9.3,Jetblue,JBLU,7.94,-0.16,362
95,67,87,A-,28.5,BlmnBrd,BLMN,25.76,-0.88,79
95,63,88,A+,5.5,VtexClaasA,VTEX,4.56,-0.18,-41
95,61,95,A,19.8,NorwegCrs,NCLH,19.4,0.32,-6
95,60,97,A,67.4,Shopify,SHOP,63.79,0.31,-48
95,59,98,A,3.1,XerisBiophrma,XERS,2.93,-0.03,99
95,59,93,A,11.1,PointBiophrma,PNT,10.12,0.07,385
95,58,97,A+,16.4,Carnival,CCL,15.8,0.04,5
95,53,98,A,18.6,AcvAuctionsA,ACVA,17.17,-0.54,111
94,98,89,B,20.6,SovosBrnds,SOVO,19.44,0.7,148
94,98,55,C-,402.8,Paycom,PAYC,306.2,-0.55,0
94,96,94,B+,89.9,Copart,CPRT,89.19,-0.11,55
94,95,92,A+,296.9,HCA Hlthcr,HCA,295.4,1,34
94,89,94,A-,26,Api Group,APG,25.44,-0.26,430
94,88,90,C+,191.8,QuantaSvcs,PWR,186.61,-2.7,150
94,88,83,C-,118.6,Xylem,XYL,111.03,-1.4,-24
94,88,82,B,402.9,S&P Global,SPGI,390.36,2.12,11
94,85,79,D+,19,Stellantis,STLA,16.46,-0.17,-30
94,84,95,B,60.9,Terex,TEX,55.78,-1.13,47
94,84,94,B,18,Jeld-Wen,JELD,16.19,-0.21,176
94,83,96,B+,14,BurfordCapital,BUR,12.35,-0.33,1
94,82,93,B,28.1,VishayInter,VSH,27.78,-0.17,105
94,82,91,B-,12.6,AbsoluteSfwr,ABST,11.36,-0.04,55
94,82,91,D-,1365.6,MercadoLibre,MELI,1226.49,-15.02,83
94,81,98,A-,3.4,Enel Chile,ENIC,3.34,-0.05,-30
94,81,98,A+,2.2,Qudian A,QD,1.93,-0.07,42
94,81,97,A-,14.3,Yext,YEXT,11.37,-0.32,44
94,81,93,B,34.9,On Holding,ONON,29.76,0.72,-48
94,81,87,A-,25.9,VeecoInst,VECO,24.21,-0.7,82
94,81,85,C+,7.8,OrasureTech,OSUR,5.11,-0.04,26
94,78,99,B+,15.5,YPFSciedad,YPF,14.79,0.06,-9
94,78,94,B,119.6,DRHorton,DHI,120.4,0.77,45
94,78,79,B+,40.2,Trip.com,TCOM,34.28,-0.58,-40
94,75,85,B-,129.6,Alphabet C,GOOG,123.02,-0.85,0
94,73,90,A+,77.6,ApollGlbMgmtA,APO,73,-1.87,195
94,72,86,A+,149.3,Zimmer Bio,ZBH,143.99,-0.59,-2
94,69,95,A,81.2,Beacon Roofing,BECN,79.9,0.09,137
94,63,97,A-,9.1,CTI Biopharm,CTIC,9.09,0,71
94,58,97,A-,14.7,CarnivalPlc,CUK,14.26,0.03,5
