Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
94,88,92,B+,88.5,SPX Flow,FLOW,86.22,-0.13,-44
94,85,86,C,139.8,IntercntExch,ICE,137.63,-0.12,-54
94,84,93,B+,137.2,Paychex,PAYX,135.85,0.21,-27
94,84,81,B-,38.9,Chemours Co,CC,33.1,0.54,-3
94,81,87,A-,174.6,DigitalRlty,DLR,174.86,1.36,-13
94,80,69,B-,142.2,TaiwanSemi,TSM,122.06,-0.64,-22
94,77,86,B,71.4,AerCap,AER,65.07,-0.67,-47
94,74,90,C,24.9,KimcoRlty,KIM,24.1,0.07,-39
94,70,80,B-,16.1,CNX Rsrces,CNX,14.4,-0.05,-60
94,68,99,A+,7.8,Dogness A,DOGZ,7.68,0.24,14
94,68,91,C+,11.4,PetroleoBras,PBR,11.1,0.02,-52
94,62,98,B,12.9,AllianceRes,ARLP,12.01,-0.09,-42
94,62,94,B,51.8,MP Materials,MP,44.9,-1.5,-43
94,59,74,B+,103.3,Cirrus,CRUS,92.34,-0.84,-58
94,57,98,A,94.4,Impinj,PI,89.64,-2.94,-55
93,99,98,D,99.3,InMode,INMD,70.6,-1.42,-64
93,99,86,E,686.6,RegenernPh,REGN,638.46,3.69,-59
